"","citrus.fruit","semi.finished.bread","margarine","ready.soups"
"14928","misc. beverages","shopping bags","",""
"14929","rolls/buns","","",""
"14930","finished products","","",""
"14931","pork","pip fruit","other vegetables","butter milk"
"14932","white bread","pastry","soda","fruit/vegetable juice"
"14933","oil","soda","newspapers",""
"14934","finished products","onions","salty snack",""
"14935","frankfurter","pork","citrus fruit","whole milk"
"14936","whipped/sour cream","rolls/buns","oil","sugar"
"14937","soups","bottled water","bottled beer",""
"14938","chicken","citrus fruit","onions","other vegetables"
"14939","yogurt","pet care","pot plants",""
"14940","frozen meals","canned beer","candy",""
"14941","curd","cat food","",""
"14942","root vegetables","whole milk","curd","rolls/buns"
"14943","pastry","pasta","napkins",""
"14944","beverages","","",""
"14945","whole milk","specialty cheese","frozen vegetables",""
"14946","pork","whole milk","frozen meals","rolls/buns"
"14947","pastry","ready soups","waffles","chocolate"
"14948","shopping bags","","",""
"14949","frozen meals","shopping bags","",""
"14950","beef","other vegetables","whole milk","yogurt"
"14951","brown bread","liquor","newspapers",""
"14952","coffee","","",""
"14953","pork","whole milk","yogurt","tidbits"
"14954","rolls/buns","pickled vegetables","bags",""
"14955","jam","hygiene articles","",""
"14956","chocolate","","",""
"14957","soda","","",""
"14958","ham","chicken","pork","root vegetables"
"14959","whole milk","whipped/sour cream","rolls/buns","sugar"
"14960","soda","waffles","chocolate","specialty chocolate"
"14961","chocolate marshmallow","napkins","",""
"14962","chewing gum","chocolate","",""
"14963","finished products","other vegetables","butter","cream cheese "
"14964","processed cheese","domestic eggs","rolls/buns","pastry"
"14965","long life bakery product","candy","",""
"14966","soda","","",""
"14967","frankfurter","yogurt","rolls/buns",""
"14968","other vegetables","whole milk","curd",""
"14969","sausage","butter","pastry","vinegar"
"14970","margarine","","",""
"14971","pastry","soda","",""
"14972","specialty bar","hygiene articles","",""
"14973","butter milk","frozen dessert","soda","shopping bags"
"14974","tropical fruit","pip fruit","yogurt",""
"14975","pet care","bottled beer","",""
"14976","chicken","pip fruit","soda",""
"14977","other vegetables","yogurt","whipped/sour cream","frozen vegetables"
"14978","rice","soda","chocolate","cling film/bags"
"14979","flower (seeds)","","",""
"14980","other vegetables","packaged fruit/vegetables","yogurt","whipped/sour cream"
"14981","beverages","","",""
"14982","whole milk","instant coffee","misc. beverages","fruit/vegetable juice"
"14983","chewing gum","shopping bags","",""
"14984","whole milk","","",""
"14985","tropical fruit","whole milk","curd","dessert"
"14986","pasta","cat food","fruit/vegetable juice","waffles"
"14987","sausage","","",""
"14988","sausage","chicken","pip fruit","spread cheese"
"14989","rolls/buns","sugar","",""
"14990","rolls/buns","canned beer","hygiene articles",""
"14991","UHT-milk","coffee","",""
"14992","whole milk","","",""
"14993","citrus fruit","whole milk","fruit/vegetable juice","white wine"
"14994","chocolate","","",""
"14995","white wine","shopping bags","",""
"14996","curd","","",""
"14997","bottled beer","liquor","rum",""
"14998","root vegetables","onions","shopping bags",""
"14999","yogurt","frozen meals","coffee","bottled water"
"15000","shopping bags","","",""
"15001","zwieback","","",""
"15002","ham","other vegetables","",""
"15003","citrus fruit","other vegetables","whole milk","yogurt"
"15004","UHT-milk","white bread","salt","Instant food products"
"15005","bottled water","nut snack","newspapers",""
"15006","whole milk","pastry","",""
"15007","liqueur","","",""
"15008","beef","tropical fruit","other vegetables","whole milk"
"15009","cream cheese ","rolls/buns","mustard","bottled water"
"15010","red/blush wine","dishes","",""
"15011","semi-finished bread","seasonal products","",""
"15012","frankfurter","tropical fruit","whole milk","brown bread"
"15013","mustard","baking powder","meat spreads","fruit/vegetable juice"
"15014","shopping bags","","",""
"15015","rolls/buns","bottled beer","",""
"15016","frankfurter","sausage","meat","hamburger meat"
"15017","other vegetables","whole milk","butter","rolls/buns"
"15018","coffee","bottled water","",""
"15019","hamburger meat","root vegetables","other vegetables","rolls/buns"
"15020","roll products ","pet care","newspapers",""
"15021","other vegetables","domestic eggs","brown bread","soda"
"15022","liquor","shopping bags","",""
"15023","condensed milk","frozen dessert","",""
"15024","whole milk","","",""
"15025","other vegetables","","",""
"15026","butter milk","photo/film","",""
"15027","bottled beer","","",""
"15028","beef","whole milk","yogurt","pastry"
"15029","curd","brown bread","canned fruit","shopping bags"
"15030","bottled beer","","",""
"15031","pastry","","",""
"15032","white wine","","",""
"15033","other vegetables","whole milk","curd","waffles"
"15034","specialty bar","detergent","napkins",""
"15035","whole milk","butter","curd","processed cheese"
"15036","rolls/buns","brown bread","misc. beverages","long life bakery product"
"15037","ham","tropical fruit","whole milk","dessert"
"15038","butter milk","brown bread","pastry","oil"
"15039","cake bar","chocolate","",""
"15040","tropical fruit","dessert","tidbits","pastry"
"15041","waffles","cleaner","",""
"15042","sausage","ham","pip fruit","whole milk"
"15043","curd","butter milk","yogurt","sliced cheese"
"15044","other vegetables","domestic eggs","",""
"15045","sausage","ham","hard cheese","sauces"
"15046","domestic eggs","brown bread","flour","oil"
"15047","cat food","coffee","soda","candy"
"15048","hygiene articles","kitchen towels","",""
"15049","other vegetables","","",""
"15050","sausage","root vegetables","dessert","pastry"
"15051","flour","sugar","soda","cake bar"
"15052","tropical fruit","berries","onions","butter"
"15053","yogurt","coffee","soda","fruit/vegetable juice"
"15054","specialty bar","","",""
"15055","waffles","shopping bags","",""
"15056","pastry","house keeping products","",""
"15057","pork","processed cheese","bottled beer",""
"15058","waffles","detergent","",""
"15059","pip fruit","other vegetables","coffee",""
"15060","rolls/buns","","",""
"15061","yogurt","domestic eggs","pastry",""
"15062","frankfurter","yogurt","UHT-milk","pastry"
"15063","potato products","vinegar","artif. sweetener","cat food"
"15064","coffee","bottled water","",""
"15065","cream","cake bar","",""
"15066","yogurt","rolls/buns","chewing gum",""
"15067","instant coffee","","",""
"15068","berries","","",""
"15069","dessert","cream cheese ","waffles",""
"15070","whole milk","ice cream","shopping bags",""
"15071","whole milk","","",""
"15072","brown bread","vinegar","",""
"15073","sausage","citrus fruit","whole milk",""
"15074","onions","packaged fruit/vegetables","whole milk","sliced cheese"
"15075","domestic eggs","brown bread","ketchup","meat spreads"
"15076","newspapers","flower (seeds)","",""
"15077","hygiene articles","","",""
"15078","whole milk","","",""
"15079","other vegetables","rolls/buns","",""
"15080","tropical fruit","canned vegetables","bottled beer","specialty chocolate"
"15081","salty snack","","",""
"15082","whole milk","margarine","",""
"15083","yogurt","brown bread","coffee",""
"15084","pork","yogurt","coffee",""
"15085","bottled water","bottled beer","",""
"15086","whole milk","","",""
"15087","salty snack","","",""
"15088","bottled beer","seasonal products","",""
"15089","ham","whole milk","butter","curd"
"15090","dessert","butter milk","yogurt","soft cheese"
"15091","brown bread","pastry","fruit/vegetable juice","chocolate"
"15092","shopping bags","","",""
"15093","ice cream","pastry","soda","salty snack"
"15094","chocolate marshmallow","candy","",""
"15095","pip fruit","other vegetables","yogurt","frozen meals"
"15096","pastry","waffles","specialty bar",""
"15097","whole milk","bottled water","rum","chewing gum"
"15098","yogurt","","",""
"15099","yogurt","","",""
"15100","hygiene articles","napkins","",""
"15101","UHT-milk","coffee","canned beer","specialty chocolate"
"15102","candy","","",""
"15103","root vegetables","herbs","other vegetables","napkins"
"15104","flower (seeds)","","",""
"15105","chocolate","","",""
"15106","sausage","root vegetables","other vegetables","whole milk"
"15107","yogurt","beverages","brown bread","fruit/vegetable juice"
"15108","tropical fruit","whole milk","butter","bottled water"
"15109","hygiene articles","napkins","",""
"15110","finished products","yogurt","pasta",""
"15111","tropical fruit","long life bakery product","chocolate",""
"15112","ham","chicken","other vegetables","whole milk"
"15113","frozen vegetables","specialty chocolate","",""
"15114","root vegetables","rolls/buns","white bread","pastry"
"15115","oil","Instant food products","napkins",""
"15116","newspapers","","",""
"15117","pork","hamburger meat","tropical fruit","whole milk"
"15118","margarine","canned vegetables","shopping bags",""
"15119","coffee","photo/film","",""
"15120","citrus fruit","pip fruit","root vegetables","whole milk"
"15121","butter","whipped/sour cream","salt","tea"
"15122","bottled water","chocolate","",""
"15123","bottled beer","liquor (appetizer)","dental care","newspapers"
"15124","frankfurter","rolls/buns","fruit/vegetable juice",""
"15125","rolls/buns","","",""
"15126","frankfurter","soda","",""
"15127","chicken","","",""
"15128","pip fruit","whole milk","yogurt","soft cheese"
"15129","sliced cheese","cream cheese ","margarine","bottled water"
"15130","fruit/vegetable juice","rum","cling film/bags",""
"15131","citrus fruit","tropical fruit","oil",""
"15132","root vegetables","other vegetables","pastry","pickled vegetables"
"15133","other vegetables","rolls/buns","soda","chocolate"
"15134","frankfurter","citrus fruit","other vegetables","whole milk"
"15135","condensed milk","rolls/buns","white bread","coffee"
"15136","fruit/vegetable juice","bottled beer","brandy",""
"15137","meat","specialty chocolate","",""
"15138","whole milk","brown bread","flower (seeds)",""
"15139","rolls/buns","pastry","soda",""
"15140","soda","waffles","",""
"15141","sliced cheese","","",""
"15142","sausage","root vegetables","chocolate",""
"15143","root vegetables","herbs","yogurt","whipped/sour cream"
"15144","UHT-milk","frozen vegetables","long life bakery product",""
"15145","hamburger meat","onions","whole milk","rolls/buns"
"15146","pasta","","",""
"15147","tropical fruit","whole milk","whipped/sour cream","sliced cheese"
"15148","domestic eggs","rolls/buns","margarine","bottled water"
"15149","fruit/vegetable juice","","",""
"15150","bottled beer","","",""
"15151","sausage","domestic eggs","rolls/buns","brown bread"
"15152","condensed milk","rolls/buns","coffee","newspapers"
"15153","whole milk","beverages","pastry","newspapers"
"15154","chicken","","",""
"15155","whole milk","","",""
"15156","beef","whole milk","rolls/buns","canned vegetables"
"15157","fruit/vegetable juice","waffles","chocolate","newspapers"
"15158","root vegetables","","",""
"15159","chicken","citrus fruit","softener",""
"15160","pork","","",""
"15161","frozen vegetables","frozen meals","shopping bags",""
"15162","whole milk","rolls/buns","specialty bar",""
"15163","hamburger meat","other vegetables","yogurt","brown bread"
"15164","pastry","cat food","abrasive cleaner","dishes"
"15165","frankfurter","tropical fruit","other vegetables","whole milk"
"15166","soft cheese","curd cheese","cat food","hygiene articles"
"15167","shopping bags","","",""
"15168","tropical fruit","pip fruit","root vegetables","yogurt"
"15169","whipped/sour cream","cream cheese ","bottled water","dental care"
"15170","newspapers","","",""
"15171","soda","","",""
"15172","yogurt","pastry","",""
"15173","UHT-milk","cream cheese ","soda","waffles"
"15174","pastry","coffee","liquor (appetizer)","red/blush wine"
"15175","shopping bags","","",""
"15176","citrus fruit","pip fruit","other vegetables","UHT-milk"
"15177","salty snack","","",""
"15178","white bread","","",""
"15179","oil","detergent","",""
"15180","root vegetables","other vegetables","butter milk","rolls/buns"
"15181","salt","","",""
"15182","pork","beef","whole milk","yogurt"
"15183","sliced cheese","oil","",""
"15184","tropical fruit","whole milk","yogurt","rolls/buns"
"15185","pastry","waffles","",""
"15186","sausage","tropical fruit","butter","yogurt"
